constrains,content,difficulty,external_link,images,input,input_example,note,output,output_example,title
,"You are given $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$. Find the maximum value of $$$max(a_l, a_{l + 1}, \ldots, a_r) \cdot min(a_l, a_{l + 1}, \ldots, a_r)$$$ over all pairs $$$(l, r)$$$ of integers for which $$$1 \le l < r \le n$$$.",800,https://codeforces.com/problemset/problem/1554/A,,"The first line contains a single integer $$$t$$$ ($$$1 \le t \le 10\,000$$$)  — the number of test cases.The first line of each test case contains a single integer $$$n$$$ ($$$2 \le n \le 10^5$$$).The second line of each test case contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$1 \le a_i \le 10^6$$$).It is guaranteed that the sum of $$$n$$$ over all test cases doesn't exceed $$$3 \cdot 10^5$$$.","The first line contains a single integer $$$t$$$ ($$$1 \le t \le 10\,000$$$)  — the number of test cases.The first line of each test case contains a single integer $$$n$$$ ($$$2 \le n \le 10^5$$$).The second line of each test case contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$1 \le a_i \le 10^6$$$).It is guaranteed that the sum of $$$n$$$ over all test cases doesn't exceed $$$3 \cdot 10^5$$$.","Let $$$f(l, r) = max(a_l, a_{l + 1}, \ldots, a_r) \cdot min(a_l, a_{l + 1}, \ldots, a_r)$$$. In the first test case,  So the maximum is $$$f(2, 3) = 12$$$. In the second test case, the maximum is $$$f(1, 2) = f(1, 3) = f(2, 3) = 6$$$.","For each test case, print a single integer  — the maximum possible value of the product from the statement.","For each test case, print a single integer  — the maximum possible value of the product from the statement.",A. Cherry
,"A frog is currently at the point $$$0$$$ on a coordinate axis $$$Ox$$$. It jumps by the following algorithm: the first jump is $$$a$$$ units to the right, the second jump is $$$b$$$ units to the left, the third jump is $$$a$$$ units to the right, the fourth jump is $$$b$$$ units to the left, and so on. Formally:     if the frog has jumped an even number of times (before the current jump), it jumps from its current position $$$x$$$ to position $$$x+a$$$;   otherwise it jumps from its current position $$$x$$$ to position $$$x-b$$$.  Your task is to calculate the position of the frog after $$$k$$$ jumps. But... One more thing. You are watching $$$t$$$ different frogs so you have to answer $$$t$$$ independent queries.",800,https://codeforces.com/problemset/problem/1077/A,,"The first line of the input contains one integer $$$t$$$ ($$$1 \le t \le 1000$$$) — the number of queries.Each of the next $$$t$$$ lines contain queries (one query per line).The query is described as three space-separated integers $$$a, b, k$$$ ($$$1 \le a, b, k \le 10^9$$$) — the lengths of two types of jumps and the number of jumps, respectively.","The first line of the input contains one integer $$$t$$$ ($$$1 \le t \le 1000$$$) — the number of queries.Each of the next $$$t$$$ lines contain queries (one query per line).The query is described as three space-separated integers $$$a, b, k$$$ ($$$1 \le a, b, k \le 10^9$$$) — the lengths of two types of jumps and the number of jumps, respectively.","In the first query frog jumps $$$5$$$ to the right, $$$2$$$ to the left and $$$5$$$ to the right so the answer is $$$5 - 2 + 5 = 8$$$. In the second query frog jumps $$$100$$$ to the right, $$$1$$$ to the left, $$$100$$$ to the right and $$$1$$$ to the left so the answer is $$$100 - 1 + 100 - 1 = 198$$$. In the third query the answer is $$$1 - 10 + 1 - 10 + 1 = -17$$$. In the fourth query the answer is $$$10^9 - 1 + 10^9 - 1 + 10^9 - 1 = 2999999997$$$. In the fifth query all frog's jumps are neutralized by each other so the answer is $$$0$$$. The sixth query is the same as the fifth but without the last jump so the answer is $$$1$$$.",Print $$$t$$$ integers. The $$$i$$$-th integer should be the answer for the $$$i$$$-th query.,Print $$$t$$$ integers. The $$$i$$$-th integer should be the answer for the $$$i$$$-th query.,A. Frog Jumping
,"Given an array $$$a=[a_1,a_2,\dots,a_n]$$$ of $$$n$$$ positive integers, you can do operations of two types on it:    Add $$$1$$$ to  every  element with an  odd  index. In other words change the array as follows: $$$a_1 := a_1 +1, a_3 := a_3 + 1, a_5 := a_5+1, \dots$$$.    Add $$$1$$$ to  every  element with an  even  index. In other words change the array as follows: $$$a_2 := a_2 +1, a_4 := a_4 + 1, a_6 := a_6+1, \dots$$$. Determine if after any number of operations it is possible to make the final array contain only even numbers or only odd numbers. In other words, determine if you can make all elements of the array have the same parity after any number of operations. Note that you can do operations of both types any number of times (even none). Operations of different types can be performed a different number of times.",800,https://codeforces.com/problemset/problem/1669/C,,"The first line contains an integer $$$t$$$ ($$$1 \leq t \leq 100$$$) — the number of test cases.The first line of each test case contains an integer $$$n$$$ ($$$2 \leq n \leq 50$$$) — the length of the array.The second line of each test case contains $$$n$$$ integers $$$a_1, a_2, \dots, a_n$$$ ($$$1 \leq a_i \leq 10^3$$$) — the elements of the array.Note that after the performed operations the elements in the array can become greater than $$$10^3$$$.","The first line contains an integer $$$t$$$ ($$$1 \leq t \leq 100$$$) — the number of test cases.The first line of each test case contains an integer $$$n$$$ ($$$2 \leq n \leq 50$$$) — the length of the array.The second line of each test case contains $$$n$$$ integers $$$a_1, a_2, \dots, a_n$$$ ($$$1 \leq a_i \leq 10^3$$$) — the elements of the array.Note that after the performed operations the elements in the array can become greater than $$$10^3$$$.","For the first test case, we can increment the elements with an even index, obtaining the array $$$[1, 3, 1]$$$, which contains only odd numbers, so the answer is "" YES "". For the second test case, we can show that after performing any number of operations we won't be able to make all elements have the same parity, so the answer is "" NO "". For the third test case, all elements already have the same parity so the answer is "" YES "". For the fourth test case, we can perform one operation and increase all elements at odd positions by $$$1$$$, thus obtaining the array $$$[1001, 1, 1001, 1, 1001]$$$, and all elements become odd so the answer is "" YES "".","Output $$$t$$$ lines, each of which contains the answer to the corresponding test case. As an answer, output ""YES"" if after any number of operations it is possible to make the final array contain only even numbers or only odd numbers, and ""NO"" otherwise.You can output the answer in any case (for example, the strings ""yEs"", ""yes"", ""Yes"" and ""YES"" will be recognized as a positive answer).","Output $$$t$$$ lines, each of which contains the answer to the corresponding test case. As an answer, output ""YES"" if after any number of operations it is possible to make the final array contain only even numbers or only odd numbers, and ""NO"" otherwise.You can output the answer in any case (for example, the strings ""yEs"", ""yes"", ""Yes"" and ""YES"" will be recognized as a positive answer).",C. Odd/Even Increments
,"You are both a shop keeper and a shop assistant at a small nearby shop. You have $$$n$$$ goods, the $$$i$$$-th good costs $$$a_i$$$ coins. You got tired of remembering the price of each product when customers ask for it, thus you decided to simplify your life. More precisely you decided to set the same price for all $$$n$$$ goods you have. However, you don't want to lose any money so you want to choose the price in such a way that the sum of new prices is not less than the sum of the initial prices. It means that if you sell all $$$n$$$ goods for the new price, you will receive at least the same (or greater) amount of money as if you sell them for their initial prices. On the other hand, you don't want to lose customers because of big prices so among all prices you can choose you need to choose the minimum one. So you need to find the minimum possible equal price of all $$$n$$$ goods so if you sell them for this price, you will receive at least the same (or greater) amount of money as if you sell them for their initial prices. You have to answer $$$q$$$ independent queries.",800,https://codeforces.com/problemset/problem/1234/A,,"The first line of the input contains one integer $$$q$$$ ($$$1 \le q \le 100$$$) — the number of queries. Then $$$q$$$ queries follow.The first line of the query contains one integer $$$n$$$ ($$$1 \le n \le 100)$$$ — the number of goods. The second line of the query contains $$$n$$$ integers $$$a_1, a_2, \dots, a_n$$$ ($$$1 \le a_i \le 10^7$$$), where $$$a_i$$$ is the price of the $$$i$$$-th good.","The first line of the input contains one integer $$$q$$$ ($$$1 \le q \le 100$$$) — the number of queries. Then $$$q$$$ queries follow.The first line of the query contains one integer $$$n$$$ ($$$1 \le n \le 100)$$$ — the number of goods. The second line of the query contains $$$n$$$ integers $$$a_1, a_2, \dots, a_n$$$ ($$$1 \le a_i \le 10^7$$$), where $$$a_i$$$ is the price of the $$$i$$$-th good.",,"For each query, print the answer for it — the minimum possible equal price of all $$$n$$$ goods so if you sell them for this price, you will receive at least the same (or greater) amount of money as if you sell them for their initial prices.","For each query, print the answer for it — the minimum possible equal price of all $$$n$$$ goods so if you sell them for this price, you will receive at least the same (or greater) amount of money as if you sell them for their initial prices.",A. Equalize Prices Again
,"Alice and Bob have received three big piles of candies as a gift. Now they want to divide these candies as fair as possible. To do this, Alice takes one pile of candies, then Bob takes one of the other two piles. The last pile is split between Alice and Bob as they want: for example, it is possible that Alice takes the whole pile, and Bob gets nothing from it. After taking the candies from the piles, if Alice has more candies than Bob, she discards some candies so that the number of candies she has is equal to the number of candies Bob has. Of course, Bob does the same if he has more candies. Alice and Bob want to have as many candies as possible, and they plan the process of dividing candies accordingly. Please calculate the maximum number of candies Alice can have after this division process (of course, Bob will have the same number of candies). You have to answer $$$q$$$ independent queries. Let's see the following example: $$$[1, 3, 4]$$$. Then Alice can choose the third pile, Bob can take the second pile, and then the only candy from the first pile goes to Bob — then Alice has $$$4$$$ candies, and Bob has $$$4$$$ candies. Another example is $$$[1, 10, 100]$$$. Then Alice can choose the second pile, Bob can choose the first pile, and candies from the third pile can be divided in such a way that Bob takes $$$54$$$ candies, and Alice takes $$$46$$$ candies. Now Bob has $$$55$$$ candies, and Alice has $$$56$$$ candies, so she has to discard one candy — and after that, she has $$$55$$$ candies too.",800,https://codeforces.com/problemset/problem/1196/A,,"The first line of the input contains one integer $$$q$$$ ($$$1 \le q \le 1000$$$) — the number of queries. Then $$$q$$$ queries follow.The only line of the query contains three integers $$$a, b$$$ and $$$c$$$ ($$$1 \le a, b, c \le 10^{16}$$$) — the number of candies in the first, second and third piles correspondingly.","The first line of the input contains one integer $$$q$$$ ($$$1 \le q \le 1000$$$) — the number of queries. Then $$$q$$$ queries follow.The only line of the query contains three integers $$$a, b$$$ and $$$c$$$ ($$$1 \le a, b, c \le 10^{16}$$$) — the number of candies in the first, second and third piles correspondingly.",,"Print $$$q$$$ lines. The $$$i$$$-th line should contain the answer for the $$$i$$$-th query — the maximum number of candies Alice can have after the division, if both Alice and Bob act optimally (of course, Bob will have the same number of candies).","Print $$$q$$$ lines. The $$$i$$$-th line should contain the answer for the $$$i$$$-th query — the maximum number of candies Alice can have after the division, if both Alice and Bob act optimally (of course, Bob will have the same number of candies).",A. Three Piles of Candies
,"Ezzat has an array of $$$n$$$ integers  (maybe negative) . He wants to split it into two  non-empty  subsequences $$$a$$$ and $$$b$$$, such that every element from the array belongs to exactly one subsequence, and the value of $$$f(a) + f(b)$$$ is the maximum possible value, where $$$f(x)$$$ is the average of the subsequence $$$x$$$.  A sequence $$$x$$$ is a subsequence of a sequence $$$y$$$ if $$$x$$$ can be obtained from $$$y$$$ by deletion of several (possibly, zero or all) elements. The average of a subsequence is the sum of the numbers of this subsequence divided by the size of the subsequence. For example, the average of $$$[1,5,6]$$$ is $$$(1+5+6)/3 = 12/3 = 4$$$, so $$$f([1,5,6]) = 4$$$.",800,https://codeforces.com/problemset/problem/1557/A,,"The first line contains a single integer $$$t$$$ ($$$1 \le t \le 10^3$$$)— the number of test cases. Each test case consists of two lines.The first line contains a single integer $$$n$$$ ($$$2 \le n \le 10^5$$$).The second line contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$-10^9 \le a_i \le 10^9$$$).It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$3\cdot10^5$$$.","The first line contains a single integer $$$t$$$ ($$$1 \le t \le 10^3$$$)— the number of test cases. Each test case consists of two lines.The first line contains a single integer $$$n$$$ ($$$2 \le n \le 10^5$$$).The second line contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$-10^9 \le a_i \le 10^9$$$).It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$3\cdot10^5$$$.","In the first test case, the array is $$$[3, 1, 2]$$$. These are all the possible ways to split this array:  In the second test case, the array is $$$[-7, -6, -6]$$$. These are all the possible ways to split this array: ","For each test case, print a single value — the maximum value that Ezzat can achieve.Your answer is considered correct if its absolute or relative error does not exceed $$$10^{-6}$$$.Formally, let your answer be $$$a$$$, and the jury's answer be $$$b$$$. Your answer is accepted if and only if $$$\frac{|a - b|}{\max{(1, |b|)}} \le 10^{-6}$$$.","For each test case, print a single value — the maximum value that Ezzat can achieve.Your answer is considered correct if its absolute or relative error does not exceed $$$10^{-6}$$$.Formally, let your answer be $$$a$$$, and the jury's answer be $$$b$$$. Your answer is accepted if and only if $$$\frac{|a - b|}{\max{(1, |b|)}} \le 10^{-6}$$$.",A. Ezzat and Two Subsequences
,"You are an upcoming movie director, and you have just released your first movie. You have also launched a simple review site with two buttons to press — upvote and downvote. However, the site is not so simple on the inside. There are two servers, each with its separate counts for the upvotes and the downvotes. $$$n$$$ reviewers enter the site one by one. Each reviewer is one of the following types:     type $$$1$$$: a reviewer has watched the movie, and they like it — they press the upvote button;   type $$$2$$$: a reviewer has watched the movie, and they dislike it — they press the downvote button;   type $$$3$$$: a reviewer hasn't watched the movie — they look at the current number of upvotes and downvotes of the movie on the server they are in and decide what button to press. If there are more downvotes than upvotes, then a reviewer downvotes the movie. Otherwise, they upvote the movie.  Each reviewer votes on the movie exactly once. Since you have two servers, you can actually manipulate the votes so that your movie gets as many upvotes as possible. When a reviewer enters a site, you know their type, and you can send them either to the first server or to the second one. What is the maximum total number of upvotes you can gather over both servers if you decide which server to send each reviewer to?",800,https://codeforces.com/problemset/problem/1511/A,,"The first line contains a single integer $$$t$$$ ($$$1 \le t \le 10^4$$$) — the number of testcases.Then the descriptions of $$$t$$$ testcases follow.The first line of each testcase contains a single integer $$$n$$$ ($$$1 \le n \le 50$$$) — the number of reviewers.The second line of each testcase contains $$$n$$$ integers $$$r_1, r_2, \dots, r_n$$$ ($$$1 \le r_i \le 3$$$) — the types of the reviewers in the same order they enter the site.","The first line contains a single integer $$$t$$$ ($$$1 \le t \le 10^4$$$) — the number of testcases.Then the descriptions of $$$t$$$ testcases follow.The first line of each testcase contains a single integer $$$n$$$ ($$$1 \le n \le 50$$$) — the number of reviewers.The second line of each testcase contains $$$n$$$ integers $$$r_1, r_2, \dots, r_n$$$ ($$$1 \le r_i \le 3$$$) — the types of the reviewers in the same order they enter the site.","In the first testcase of the example you can send the only reviewer to either of the servers — they'll downvote anyway. The movie won't receive any upvotes. In the second testcase of the example you can send all reviewers to the first server:  There are two upvotes in total. Alternatevely, you can send the first and the second reviewers to the first server and the last reviewer — to the second server: ",For each testcase print a single integer — the maximum total number of upvotes you can gather over both servers if you decide which server to send each reviewer to.,For each testcase print a single integer — the maximum total number of upvotes you can gather over both servers if you decide which server to send each reviewer to.,A. Review Site
,"Let's define a multiplication operation between a string $$$a$$$ and a positive integer $$$x$$$: $$$a \cdot x$$$ is the string that is a result of writing $$$x$$$ copies of $$$a$$$ one after another. For example, "" abc "" $$$\cdot~2~=$$$ "" abcabc "", "" a "" $$$\cdot~5~=$$$ "" aaaaa "". A string $$$a$$$ is divisible by another string $$$b$$$ if there exists an integer $$$x$$$ such that $$$b \cdot x = a$$$. For example, "" abababab "" is divisible by "" ab "", but is not divisible by "" ababab "" or "" aa "". LCM of two strings $$$s$$$ and $$$t$$$ (defined as $$$LCM(s, t)$$$) is the shortest non-empty string that is divisible by both $$$s$$$ and $$$t$$$. You are given two strings $$$s$$$ and $$$t$$$. Find $$$LCM(s, t)$$$ or report that it does not exist. It can be shown that if $$$LCM(s, t)$$$ exists, it is unique.",1000,https://codeforces.com/problemset/problem/1473/B,,"The first line contains one integer $$$q$$$ ($$$1 \le q \le 2000$$$) — the number of test cases.Each test case consists of two lines, containing strings $$$s$$$ and $$$t$$$ ($$$1 \le |s|, |t| \le 20$$$). Each character in each of these strings is either 'a' or 'b'.","The first line contains one integer $$$q$$$ ($$$1 \le q \le 2000$$$) — the number of test cases.Each test case consists of two lines, containing strings $$$s$$$ and $$$t$$$ ($$$1 \le |s|, |t| \le 20$$$). Each character in each of these strings is either 'a' or 'b'.","In the first test case, "" baba "" = "" baba "" $$$\cdot~1~=$$$ "" ba "" $$$\cdot~2$$$. In the second test case, "" aaaaaa "" = "" aa "" $$$\cdot~3~=$$$ "" aaa "" $$$\cdot~2$$$.","For each test case, print $$$LCM(s, t)$$$ if it exists; otherwise, print -1. It can be shown that if $$$LCM(s, t)$$$ exists, it is unique.","For each test case, print $$$LCM(s, t)$$$ if it exists; otherwise, print -1. It can be shown that if $$$LCM(s, t)$$$ exists, it is unique.",B. String LCM
,"You are given a string $$$s$$$. Each character is either  0  or  1 . You want all  1 's in the string to form a contiguous subsegment. For example, if the string is  0 ,  1 ,  00111  or  01111100 , then all  1 's form a contiguous subsegment, and if the string is  0101 ,  100001  or  11111111111101 , then this condition is not met. You may erase some (possibly none)  0 's from the string. What is the minimum number of  0 's that you have to erase?",800,https://codeforces.com/problemset/problem/1303/A,,"The first line contains one integer $$$t$$$ ($$$1 \le t \le 100$$$) — the number of test cases.Then $$$t$$$ lines follow, each representing a test case. Each line contains one string $$$s$$$ ($$$1 \le |s| \le 100$$$); each character of $$$s$$$ is either 0 or 1.","The first line contains one integer $$$t$$$ ($$$1 \le t \le 100$$$) — the number of test cases.Then $$$t$$$ lines follow, each representing a test case. Each line contains one string $$$s$$$ ($$$1 \le |s| \le 100$$$); each character of $$$s$$$ is either 0 or 1.",In the first test case you have to delete the third and forth symbols from string  010011  (it turns into  0111 ).,"Print $$$t$$$ integers, where the $$$i$$$-th integer is the answer to the $$$i$$$-th testcase (the minimum number of 0's that you have to erase from $$$s$$$).","Print $$$t$$$ integers, where the $$$i$$$-th integer is the answer to the $$$i$$$-th testcase (the minimum number of 0's that you have to erase from $$$s$$$).",A. Erasing Zeroes
,"We have a point $$$A$$$ with coordinate $$$x = n$$$ on $$$OX$$$-axis. We'd like to find an  integer point  $$$B$$$ (also on $$$OX$$$-axis), such that the  absolute difference  between the distance from $$$O$$$ to $$$B$$$ and the distance from $$$A$$$ to $$$B$$$ is equal to $$$k$$$.     The description of the first test case.   Since sometimes it's impossible to find such point $$$B$$$, we can, in one step, increase or decrease the coordinate of $$$A$$$ by $$$1$$$. What is the minimum number of steps we should do to make such point $$$B$$$ exist?",900,https://codeforces.com/problemset/problem/1401/A,,"The first line contains one integer $$$t$$$ ($$$1 \le t \le 6000$$$) — the number of test cases.The only line of each test case contains two integers $$$n$$$ and $$$k$$$ ($$$0 \le n, k \le 10^6$$$) — the initial position of point $$$A$$$ and desirable absolute difference.","The first line contains one integer $$$t$$$ ($$$1 \le t \le 6000$$$) — the number of test cases.The only line of each test case contains two integers $$$n$$$ and $$$k$$$ ($$$0 \le n, k \le 10^6$$$) — the initial position of point $$$A$$$ and desirable absolute difference.","In the first test case (picture above), if we set the coordinate of $$$B$$$ as $$$2$$$ then the absolute difference will be equal to $$$|(2 - 0) - (4 - 2)| = 0$$$ and we don't have to move $$$A$$$. So the answer is $$$0$$$. In the second test case, we can increase the coordinate of $$$A$$$ by $$$3$$$ and set the coordinate of $$$B$$$ as $$$0$$$ or $$$8$$$. The absolute difference will be equal to $$$|8 - 0| = 8$$$, so the answer is $$$3$$$.","For each test case, print the minimum number of steps to make point $$$B$$$ exist.","For each test case, print the minimum number of steps to make point $$$B$$$ exist.",A. Distance and Axis
,"You are given one integer number $$$n$$$. Find three  distinct integers  $$$a, b, c$$$ such that $$$2 \le a, b, c$$$ and $$$a \cdot b \cdot c = n$$$ or say that it is impossible to do it. If there are several answers, you can print any. You have to answer $$$t$$$ independent test cases.",1300,https://codeforces.com/problemset/problem/1294/C,,The first line of the input contains one integer $$$t$$$ ($$$1 \le t \le 100$$$) — the number of test cases.The next $$$n$$$ lines describe test cases. The $$$i$$$-th test case is given on a new line as one integer $$$n$$$ ($$$2 \le n \le 10^9$$$).,The first line of the input contains one integer $$$t$$$ ($$$1 \le t \le 100$$$) — the number of test cases.The next $$$n$$$ lines describe test cases. The $$$i$$$-th test case is given on a new line as one integer $$$n$$$ ($$$2 \le n \le 10^9$$$).,,"For each test case, print the answer on it. Print ""NO"" if it is impossible to represent $$$n$$$ as $$$a \cdot b \cdot c$$$ for some distinct integers $$$a, b, c$$$ such that $$$2 \le a, b, c$$$.Otherwise, print ""YES"" and any possible such representation.","For each test case, print the answer on it. Print ""NO"" if it is impossible to represent $$$n$$$ as $$$a \cdot b \cdot c$$$ for some distinct integers $$$a, b, c$$$ such that $$$2 \le a, b, c$$$.Otherwise, print ""YES"" and any possible such representation.",C. Product of Three Numbers
,"Polycarp wants to buy  exactly  $$$n$$$ shovels. The shop sells packages with shovels. The store has $$$k$$$ types of packages: the package of the $$$i$$$-th type consists of exactly $$$i$$$ shovels ($$$1 \le i \le k$$$). The store has an infinite number of packages of each type. Polycarp wants to choose  one  type of packages and then buy several (one or more) packages of this type. What is the smallest number of packages Polycarp will have to buy to get exactly $$$n$$$ shovels? For example, if $$$n=8$$$ and $$$k=7$$$, then Polycarp will buy $$$2$$$ packages of $$$4$$$ shovels. Help Polycarp find the minimum number of packages that he needs to buy, given that he:     will buy exactly $$$n$$$ shovels in total;   the sizes of  all  packages he will buy are all the same and the number of shovels in each package is an integer from $$$1$$$ to $$$k$$$, inclusive. ",1300,https://codeforces.com/problemset/problem/1360/D,,"The first line contains an integer $$$t$$$ ($$$1 \le t \le 100$$$) — the number of test cases in the input. Then, $$$t$$$ test cases follow, one per line.Each test case consists of two positive integers $$$n$$$ ($$$1 \le n \le 10^9$$$) and $$$k$$$ ($$$1 \le k \le 10^9$$$) — the number of shovels and the number of types of packages.","The first line contains an integer $$$t$$$ ($$$1 \le t \le 100$$$) — the number of test cases in the input. Then, $$$t$$$ test cases follow, one per line.Each test case consists of two positive integers $$$n$$$ ($$$1 \le n \le 10^9$$$) and $$$k$$$ ($$$1 \le k \le 10^9$$$) — the number of shovels and the number of types of packages.","The answer to the first test case was explained in the statement. In the second test case, there is only one way to buy $$$8$$$ shovels — $$$8$$$ packages of one shovel. In the third test case, you need to buy a $$$1$$$ package of $$$6$$$ shovels.",Print $$$t$$$ answers to the test cases. Each answer is a positive integer — the minimum number of packages.,Print $$$t$$$ answers to the test cases. Each answer is a positive integer — the minimum number of packages.,D. Buying Shovels
,"You are given a string $$$s$$$, consisting only of characters '0' and '1'. You have to choose a contiguous substring of $$$s$$$ and remove all occurrences of the character, which is a strict minority in it, from the substring. That is, if the amount of '0's in the substring is strictly smaller than the amount of '1's, remove all occurrences of '0' from the substring. If the amount of '1's is strictly smaller than the amount of '0's, remove all occurrences of '1'. If the amounts are the same, do nothing. You have to apply the operation  exactly once . What is the maximum amount of characters that can be removed?",800,https://codeforces.com/problemset/problem/1633/B,,"The first line contains a single integer $$$t$$$ ($$$1 \le t \le 10^4$$$) — the number of testcases.The only line of each testcase contains a non-empty string $$$s$$$, consisting only of characters '0' and '1'. The length of $$$s$$$ doesn't exceed $$$2 \cdot 10^5$$$.The total length of strings $$$s$$$ over all testcases doesn't exceed $$$2 \cdot 10^5$$$.","The first line contains a single integer $$$t$$$ ($$$1 \le t \le 10^4$$$) — the number of testcases.The only line of each testcase contains a non-empty string $$$s$$$, consisting only of characters '0' and '1'. The length of $$$s$$$ doesn't exceed $$$2 \cdot 10^5$$$.The total length of strings $$$s$$$ over all testcases doesn't exceed $$$2 \cdot 10^5$$$.","In the first testcase, you can choose substrings ""0"", ""1"" or ""01"". In ""0"" the amount of '0' is $$$1$$$, the amount of '1' is $$$0$$$. '1' is a strict minority, thus all occurrences of it are removed from the substring. However, since there were $$$0$$$ of them, nothing changes. Same for ""1"". And in ""01"" neither of '0' or '1' is a strict minority. Thus, nothing changes. So there is no way to remove any characters. In the second testcase, you can choose substring ""10101010101"". It contains $$$5$$$ characters '0' and $$$6$$$ characters '1'. '0' is a strict minority. Thus, you can remove all its occurrences. There exist other substrings that produce the same answer. In the third testcase, you can choose substring ""011000100"". It contains $$$6$$$ characters '0' and $$$3$$$ characters '1'. '1' is a strict minority. Thus, you can remove all its occurrences.","For each testcase, print a single integer — the maximum amount of characters that can be removed after applying the operation exactly once.","For each testcase, print a single integer — the maximum amount of characters that can be removed after applying the operation exactly once.",B. Minority
,"You are given a positive integer $$$x$$$. Check whether the number $$$x$$$ is representable as the sum of the cubes of two positive integers. Formally, you need to check if there are two integers $$$a$$$ and $$$b$$$ ($$$1 \le a, b$$$) such that $$$a^3+b^3=x$$$. For example, if $$$x = 35$$$, then the numbers $$$a=2$$$ and $$$b=3$$$ are suitable ($$$2^3+3^3=8+27=35$$$). If $$$x=4$$$, then no pair of numbers $$$a$$$ and $$$b$$$ is suitable.",1100,https://codeforces.com/problemset/problem/1490/C,,"The first line contains one integer $$$t$$$ ($$$1 \le t \le 100$$$) — the number of test cases. Then $$$t$$$ test cases follow.Each test case contains one integer $$$x$$$ ($$$1 \le x \le 10^{12}$$$).Please note, that the input for some test cases won't fit into $$$32$$$-bit integer type, so you should use at least $$$64$$$-bit integer type in your programming language.","The first line contains one integer $$$t$$$ ($$$1 \le t \le 100$$$) — the number of test cases. Then $$$t$$$ test cases follow.Each test case contains one integer $$$x$$$ ($$$1 \le x \le 10^{12}$$$).Please note, that the input for some test cases won't fit into $$$32$$$-bit integer type, so you should use at least $$$64$$$-bit integer type in your programming language.",The number $$$1$$$ is not representable as the sum of two cubes. The number $$$2$$$ is represented as $$$1^3+1^3$$$. The number $$$4$$$ is not representable as the sum of two cubes. The number $$$34$$$ is not representable as the sum of two cubes. The number $$$35$$$ is represented as $$$2^3+3^3$$$. The number $$$16$$$ is represented as $$$2^3+2^3$$$. The number $$$703657519796$$$ is represented as $$$5779^3+7993^3$$$.,"For each test case, output on a separate line: You can output ""YES"" and ""NO"" in any case (for example, the strings yEs, yes, Yes and YES will be recognized as positive).","For each test case, output on a separate line: You can output ""YES"" and ""NO"" in any case (for example, the strings yEs, yes, Yes and YES will be recognized as positive).",C. Sum of Cubes
,"When Serezha was three years old, he was given a set of cards with letters for his birthday. They were arranged into words in the way which formed the boy's mother favorite number in binary notation. Serezha started playing with them immediately and shuffled them because he wasn't yet able to read. His father decided to rearrange them. Help him restore the original number, on condition that it was the maximum possible one. ",800,https://codeforces.com/problemset/problem/1220/A,,"The first line contains a single integer $$$n$$$ ($$$1 \leqslant n \leqslant 10^5$$$) — the length of the string. The second line contains a string consisting of English lowercase letters: 'z', 'e', 'r', 'o' and 'n'.It is guaranteed that it is possible to rearrange the letters in such a way that they form a sequence of words, each being either ""zero"" which corresponds to the digit $$$0$$$ or ""one"" which corresponds to the digit $$$1$$$.","The first line contains a single integer $$$n$$$ ($$$1 \leqslant n \leqslant 10^5$$$) — the length of the string. The second line contains a string consisting of English lowercase letters: 'z', 'e', 'r', 'o' and 'n'.It is guaranteed that it is possible to rearrange the letters in such a way that they form a sequence of words, each being either ""zero"" which corresponds to the digit $$$0$$$ or ""one"" which corresponds to the digit $$$1$$$.","In the first example, the correct initial ordering is "" zero "". In the second example, the correct initial ordering is "" oneonezero "".",Print the maximum possible number in binary notation. Print binary digits separated by a space. The leading zeroes are allowed.,Print the maximum possible number in binary notation. Print binary digits separated by a space. The leading zeroes are allowed.,A. Cards
,"Today Patrick waits for a visit from his friend Spongebob. To prepare for the visit, Patrick needs to buy some goodies in two stores located near his house. There is a  d 1  meter long road between his house and the first shop and a  d 2  meter long road between his house and the second shop. Also, there is a road of length  d 3  directly connecting these two shops to each other. Help Patrick calculate the minimum distance that he needs to walk in order to go to both shops and return to his house.     Patrick always starts at his house. He should visit both shops moving only along the three existing roads and return back to his house. He doesn't mind visiting the same shop or passing the same road multiple times. The only goal is to minimize the total distance traveled.",800,https://codeforces.com/problemset/problem/599/A,,"The first line of the input contains three integers d1, d2, d3 (1 ≤ d1, d2, d3 ≤ 108) — the lengths of the paths. ","The first line of the input contains three integers d1, d2, d3 (1 ≤ d1, d2, d3 ≤ 108) — the lengths of the paths. ",The first sample is shown on the picture in the problem statement. One of the optimal routes is: house   first shop   second shop   house. In the second sample one of the optimal routes is: house   first shop   house   second shop   house.,Print the minimum distance that Patrick will have to walk in order to visit both shops and return to his house.,Print the minimum distance that Patrick will have to walk in order to visit both shops and return to his house.,A. Patrick and Shopping
